area,disruption,greatest_sector,totaldisrupt,dis,totalEmployed
44180,0.8824514333979232,Management occupations,,177611.0,201270.0
22420,0.8389898390565897,Management occupations,,113121.0,134830.0
76900,0.7434092402014452,Management occupations,,67903.0,91340.0
76750,0.7877343517508184,Management occupations,,158823.0,201620.0
34900,1.1737035467005794,Management occupations,,83063.0,70770.0
31900,1.272189349112426,Management occupations,,64500.0,50700.0
21500,1.2755398539218799,Management occupations,,160667.0,125960.0
27140,1.0246676570296729,Management occupations,,269006.0,262530.0
40140,1.1186547664484308,Management occupations,,1524100.0,1362440.0
27260,0.755232810465621,Management occupations,,487246.0,645160.0
19660,0.8206006322444679,Management occupations,,155750.0,189800.0
0100004,1.3741931656383484,"Switchboard operators, including answering service",,115817.0,84280.0
4100001,0.7053501722158438,Postal service clerks,,30718.0,43550.0
30700,1.0054157393140444,Management occupations,,176179.0,175230.0
0500002,1.5114393829136952,"Switchboard operators, including answering service",,103851.0,68710.0
0500003,1.383879995522221,Sewing machine operators,,123622.0,89330.0
0500004,1.5919400855920114,"Switchboard operators, including answering service",,156233.0,98140.0
74500,1.0109692859992023,Management occupations,,50690.0,50140.0
33860,1.170504817889825,Management occupations,,193145.0,165010.0
26140,0.4073888541014402,Management occupations,,13012.0,31940.0
42020,1.0314614703277236,Management occupations,,116452.0,112900.0
20220,0.9453282389718652,Management occupations,,54432.0,57580.0
42340,0.6959241591691323,Management occupations,,115252.0,165610.0
43900,1.628682988602786,Management occupations,,231501.0,142140.0
17300,1.086460919947972,Management occupations,,91882.0,84570.0
10900,1.0306738088525516,Management occupations,,365580.0,354700.0
26380,0.8190878754171301,Management occupations,,73636.0,89900.0
29020,0.26803629947063273,Management occupations,,10633.0,39670.0
4600002,1.6360096955006818,"Postal service mail sorters, processors, and processing machine operators",,215986.0,132020.0
1600001,0.9832972270363951,Sewing machine operators,,45389.0,46160.0
1600002,0.8667364016736402,Postal service clerks,,16572.0,19120.0
1600003,0.9740837354897613,Postal service clerks,,74683.0,76670.0
31540,0.9568488308151561,Management occupations,,365411.0,381890.0
4800002,1.266360052562418,"Switchboard operators, including answering service",,337295.0,266350.0
25220,0.5209184900216398,Management occupations,,21665.0,41590.0
28700,1.13019329788132,Management occupations,,133894.0,118470.0
73450,0.9684342912273448,Management occupations,,562118.0,580440.0
4100002,0.8920211114560695,Postal service clerks,,57464.0,64420.0
