MSA,31-0000,25-0000,51-0000,11-0000,21-0000,19-0000,49-0000,29-0000,45-0000,53-0000,15-0000,41-0000,17-0000,33-0000,39-0000,23-0000,37-0000,27-0000,43-0000,47-0000,35-0000,13-0000
2200003,2620.0,6080.0,4320.0,2660.0,1300.0,250.0,3120.0,4770.0,660.0,5060.0,240.0,7250.0,480.0,2410.0,3500.0,210.0,2370.0,420.0,8860.0,2170.0,5620.0,1410.0
32580,15330.0,25960.0,6450.0,6010.0,2600.0,1010.0,8240.0,16240.0,930.0,18840.0,1810.0,29350.0,990.0,6990.0,24140.0,1240.0,6030.0,1540.0,41630.0,5480.0,23150.0,5740.0
2200001,370.0,860.0,460.0,350.0,110.0,**,260.0,590.0,,750.0,,1050.0,,370.0,400.0,40.0,230.0,,1910.0,500.0,820.0,170.0
48140,1820.0,3130.0,11220.0,2640.0,810.0,280.0,2960.0,4360.0,130.0,6200.0,1570.0,6340.0,1190.0,1110.0,2070.0,330.0,2030.0,590.0,10690.0,2140.0,4830.0,3140.0
2200004,2170.0,4110.0,5380.0,2490.0,900.0,310.0,3440.0,3280.0,**,6210.0,170.0,6370.0,1220.0,1450.0,2740.0,**,1630.0,170.0,8960.0,2840.0,4770.0,1660.0
39740,6620.0,10440.0,21040.0,6160.0,2870.0,700.0,7760.0,9930.0,390.0,16570.0,2350.0,16340.0,3480.0,2610.0,5090.0,890.0,5590.0,1290.0,26120.0,5660.0,13850.0,6160.0
39660,1600.0,3340.0,2560.0,1750.0,1220.0,760.0,2900.0,5090.0,90.0,3510.0,940.0,8210.0,830.0,1290.0,2140.0,340.0,3120.0,950.0,10360.0,4330.0,7430.0,2550.0
43300,1440.0,2940.0,3390.0,1270.0,470.0,80.0,2220.0,4020.0,,2450.0,290.0,4480.0,640.0,680.0,1980.0,270.0,1030.0,350.0,7390.0,1990.0,4980.0,900.0
45060,8170.0,26430.0,16520.0,12590.0,5810.0,3260.0,13350.0,19340.0,210.0,20160.0,6520.0,31030.0,5160.0,5690.0,9460.0,2140.0,11000.0,3270.0,51700.0,11120.0,26490.0,12320.0
72400,2620.0,8830.0,7880.0,5520.0,3340.0,1180.0,5430.0,7640.0,380.0,6310.0,4580.0,13300.0,3630.0,1930.0,3440.0,1130.0,3600.0,2670.0,16350.0,4960.0,10210.0,8290.0
